,True,Pred,Diff
2257,241.0,904.0,-663.0
1380,1300.0,839.0,461.0
1321,1000.0,834.0,166.0
1358,1200.0,862.0,338.0
1259,1400.0,1200.0,200.0
637,4900.0,1700.0,3200.0
1507,846.0,524.0,322.0
447,9300.0,8300.0,1000.0
1980,342.0,325.0,17.0
1557,381.0,866.0,-485.0
226,20700.0,15000.0,5700.0
2006,476.0,2100.0,-1624.0
2027,424.0,551.0,-127.0
115,46900.0,25300.0,21600.0
2283,241.0,290.0,-49.0
1032,2400.0,3700.0,-1300.0
1845,600.0,998.0,-398.0
181,29100.0,12700.0,16400.0
407,10000.0,9400.0,600.0
415,9200.0,12000.0,-2800.0
3,759100.0,389000.0,370100.0
855,3000.0,4700.0,-1700.0
2036,419.0,683.0,-264.0
1373,1300.0,3700.0,-2400.0
633,5300.0,6200.0,-900.0
2032,340.0,424.0,-84.0
1598,216.0,634.0,-418.0
326,12900.0,9800.0,3100.0
615,5100.0,4800.0,300.0
1034,2300.0,2000.0,300.0
2224,188.0,852.0,-664.0
2264,174.0,351.5,-177.5
1782,282.0,135.0,147.0
268,14900.0,38400.0,-23500.0
1922,480.0,283.0,197.0
1370,1300.0,1600.0,-300.0
646,5300.0,7200.0,-1900.0
833,3400.0,13800.0,-10400.0
342,11200.0,7600.0,3600.0
1778,430.0,209.0,221.0
2359,164.0,255.5,-91.5
665,4400.0,967.0,3433.0
1792,652.0,776.0,-124.0
1381,1100.0,606.0,494.0
511,7500.0,5800.0,1700.0
140,41400.0,34500.0,6900.0
1671,536.0,344.0,192.0
1636,833.0,4200.0,-3367.0
1513,1000.0,952.0,48.0
1189,981.0,1300.0,-319.0
161,37600.0,30300.0,7300.0
390,7700.0,16000.0,-8300.0
1663,707.0,148.0,559.0
2313,175.0,267.5,-92.5
1153,1900.0,1300.0,600.0
1315,1400.0,778.0,622.0
949,2600.0,5500.0,-2900.0
577,4600.0,9000.0,-4400.0
485,8200.0,14300.0,-6100.0
2425,101.0,79.0,22.0
2428,116.0,76.0,40.0
1006,2500.0,664.0,1836.0
1985,475.0,215.5,259.5
